window,time_idx,entry_time,entry_price,tft_action,tft_fc_best_idx,tft_fc_best_price,tft_fc_gross_ret_pct,tft_actual_exit_price,tft_actual_return_pct,tft_pnl_usd,tft_won,tft_dir_correct,tft_breakeven_pct,tft_threshold_pct,tft_fc_mape,tft_fc_rmse,ewma_action,ewma_fc_best_idx,ewma_fc_best_price,ewma_fc_gross_ret_pct,ewma_actual_exit_price,ewma_actual_return_pct,ewma_pnl_usd,ewma_won,ewma_dir_correct,ewma_breakeven_pct,ewma_threshold_pct,ewma_fc_mape,ewma_fc_rmse
0,168,2025-10-29 08:00:00+00:00,113545.77,,,,,,,0.0,,,,,,,HOLD,23,113531.81473115618,-0.01229043481217052,113348.54,0.0,0.0,,True,0.2,0.5,0.09969347279246826,132.41892561329183
1,382,2025-10-29 11:34:00+00:00,113238.45,HOLD,10.0,110119.703125,-2.754141261205887,113089.92,0.0,0.0,,True,0.2,0.5,2.936542154757413,3327.495122091988,HOLD,23,113245.38944286601,0.0061281683615557955,113146.57,0.0,0.0,,False,0.2,0.5,0.06543101192246738,80.1061538162075
2,597,2025-10-29 15:09:00+00:00,112344.97,HOLD,10.0,110390.8046875,-1.7394328491075313,112434.23,0.0,0.0,,False,0.2,0.5,2.098752818475666,2362.8811976014817,HOLD,0,112544.23847709871,0.17737196164519936,112301.0,0.0,0.0,,False,0.2,0.5,0.15431054609091552,235.6839421363211
3,811,2025-10-29 18:43:00+00:00,109972.29,HOLD,10.0,110299.4296875,0.29747465247837107,111071.64,0.0,0.0,,True,0.2,0.5,0.7105187182510244,870.893971186355,BUY,0,111050.45134092793,0.9803936436423558,109756.51,-0.196213064218267,-0.29601685115404874,False,False,0.2,0.5,0.702843178105338,852.7862584131932
4,1026,2025-10-29 22:18:00+00:00,111413.85,HOLD,10.0,110192.703125,-1.0960458461851967,111220.18,0.0,0.0,,True,0.2,0.5,1.186278813834284,1327.4090468882962,HOLD,0,111487.92924888057,0.06649016157377205,111415.3,0.0,0.0,,True,0.2,0.5,0.11630404324727607,142.35106587677535
5,1240,2025-10-30 01:52:00+00:00,110674.78,HOLD,10.0,110162.5859375,-0.46279203130107766,110506.36,0.0,0.0,,True,0.2,0.5,0.5692900146535972,657.3290561231489,HOLD,23,110743.24991199934,0.06186586682110021,110653.43,0.0,0.0,,False,0.2,0.5,0.1533490601705336,180.28564056607448
6,1455,2025-10-30 05:27:00+00:00,109040.56,BUY,10.0,110172.140625,1.0377612009696229,109248.26,0.1904795793418496,0.09028909976250774,True,True,0.2,0.5,0.4504790491790441,563.8990648218953,HOLD,23,109535.85245257728,0.45422772276415607,110203.76,0.0,0.0,,True,0.2,0.5,0.27237749252255805,396.3758406111807
7,1670,2025-10-30 09:02:00+00:00,110748.94,HOLD,10.0,110147.0546875,-0.5434682377095459,110401.97,0.0,0.0,,True,0.2,0.5,0.4593083143006149,543.4500099983495,HOLD,0,110869.31938753993,0.10869574692085346,110693.98,0.0,0.0,,False,0.2,0.5,0.35729954917333845,418.349761561642
8,1884,2025-10-30 12:36:00+00:00,108919.09,BUY,10.0,110182.140625,1.159622821857953,108619.49,-0.27506656546615593,-0.37479149890068975,False,False,0.2,0.5,1.2696455759101597,1393.2999893172719,HOLD,0,109372.013839958,0.4158351304238828,108904.5,0.0,0.0,,False,0.2,0.5,0.4949524649184216,543.011923403078
9,2099,2025-10-30 16:11:00+00:00,108160.0,BUY,10.0,110208.984375,1.8944012342825445,107999.5,-0.1483912721893491,-0.2482428809171598,False,False,0.2,0.5,1.7602373099637272,1907.9711069178998,HOLD,23,108226.29682117866,0.06129513792406129,108049.72,0.0,0.0,,False,0.2,0.5,0.08819735909003677,123.5666259241278
