time_idx,open_time
0,2025-10-29 05:02:00+00:00
1,2025-10-29 05:03:00+00:00
2,2025-10-29 05:04:00+00:00
3,2025-10-29 05:05:00+00:00
4,2025-10-29 05:06:00+00:00
5,2025-10-29 05:07:00+00:00
6,2025-10-29 05:08:00+00:00
7,2025-10-29 05:09:00+00:00
8,2025-10-29 05:10:00+00:00
9,2025-10-29 05:11:00+00:00
10,2025-10-29 05:12:00+00:00
11,2025-10-29 05:13:00+00:00
12,2025-10-29 05:14:00+00:00
13,2025-10-29 05:15:00+00:00
14,2025-10-29 05:16:00+00:00
15,2025-10-29 05:17:00+00:00
16,2025-10-29 05:18:00+00:00
17,2025-10-29 05:19:00+00:00
18,2025-10-29 05:20:00+00:00
19,2025-10-29 05:21:00+00:00
20,2025-10-29 05:22:00+00:00
21,2025-10-29 05:23:00+00:00
22,2025-10-29 05:24:00+00:00
23,2025-10-29 05:25:00+00:00
24,2025-10-29 05:26:00+00:00
25,2025-10-29 05:27:00+00:00
26,2025-10-29 05:28:00+00:00
27,2025-10-29 05:29:00+00:00
28,2025-10-29 05:30:00+00:00
29,2025-10-29 05:31:00+00:00
30,2025-10-29 05:32:00+00:00
31,2025-10-29 05:33:00+00:00
32,2025-10-29 05:34:00+00:00
33,2025-10-29 05:35:00+00:00
34,2025-10-29 05:36:00+00:00
35,2025-10-29 05:37:00+00:00
36,2025-10-29 05:38:00+00:00
37,2025-10-29 05:39:00+00:00
38,2025-10-29 05:40:00+00:00
39,2025-10-29 05:41:00+00:00
40,2025-10-29 05:42:00+00:00
41,2025-10-29 05:43:00+00:00
42,2025-10-29 05:44:00+00:00
43,2025-10-29 05:45:00+00:00
44,2025-10-29 05:46:00+00:00
45,2025-10-29 05:47:00+00:00
46,2025-10-29 05:48:00+00:00
47,2025-10-29 05:49:00+00:00
48,2025-10-29 05:50:00+00:00
49,2025-10-29 05:51:00+00:00
50,2025-10-29 05:52:00+00:00
51,2025-10-29 05:53:00+00:00
52,2025-10-29 05:54:00+00:00
53,2025-10-29 05:55:00+00:00
54,2025-10-29 05:56:00+00:00
55,2025-10-29 05:57:00+00:00
56,2025-10-29 05:58:00+00:00
57,2025-10-29 05:59:00+00:00
58,2025-10-29 06:00:00+00:00
59,2025-10-29 06:01:00+00:00
60,2025-10-29 06:02:00+00:00
61,2025-10-29 06:03:00+00:00
62,2025-10-29 06:04:00+00:00
63,2025-10-29 06:05:00+00:00
64,2025-10-29 06:06:00+00:00
65,2025-10-29 06:07:00+00:00
66,2025-10-29 06:08:00+00:00
67,2025-10-29 06:09:00+00:00
68,2025-10-29 06:10:00+00:00
69,2025-10-29 06:11:00+00:00
70,2025-10-29 06:12:00+00:00
71,2025-10-29 06:13:00+00:00
72,2025-10-29 06:14:00+00:00
73,2025-10-29 06:15:00+00:00
74,2025-10-29 06:16:00+00:00
75,2025-10-29 06:17:00+00:00
76,2025-10-29 06:18:00+00:00
77,2025-10-29 06:19:00+00:00
78,2025-10-29 06:20:00+00:00
79,2025-10-29 06:21:00+00:00
80,2025-10-29 06:22:00+00:00
81,2025-10-29 06:23:00+00:00
82,2025-10-29 06:24:00+00:00
